Sanidad,sub,w.length,prom
HLB+,17,788.756,65.59875
HLB+,17,789.246,65.6075
HLB+,17,789.736,65.61875
HLB+,17,790.227,65.63
HLB+,17,790.717,65.64
HLB+,17,791.208,65.65125
HLB+,17,791.699,65.66125
HLB+,17,792.189,65.6725
HLB+,17,792.68,65.67875
HLB+,17,793.171,65.68875
HLB+,17,793.662,65.69875
HLB+,17,794.152,65.7075
HLB+,17,794.643,65.71625
HLB+,17,795.134,65.725
HLB+,17,795.625,65.73375
HLB+,17,796.116,65.7425
HLB+,17,796.607,65.75125
HLB+,17,797.098,65.75875
HLB+,17,797.59,65.76625
HLB+,17,798.081,65.77375
HLB+,17,798.572,65.78375
HLB+,17,799.063,65.79125
HLB+,17,799.555,65.8
HLB+,17,800.046,65.80625
HLB+,17,800.537,65.80625
HLB+,18,780.425,64.9475
HLB+,18,780.915,64.96375
HLB+,18,781.405,64.9775
HLB+,18,781.894,64.9925
HLB+,18,782.384,65.00875
HLB+,18,782.874,65.02375
HLB+,18,783.364,65.0375
HLB+,18,783.854,65.05375
HLB+,18,784.344,65.0675
HLB+,18,784.834,65.08625
HLB+,18,785.324,65.09625
HLB+,18,785.814,65.1125
HLB+,18,786.304,65.1275
HLB+,18,786.794,65.1425
HLB+,18,787.285,65.15875
HLB+,18,787.775,65.175
HLB+,18,788.265,65.1875
HLB+,18,788.756,65.19875
HLB+,18,789.246,65.215
HLB+,18,789.736,65.2275
HLB+,18,790.227,65.2425
HLB+,18,790.717,65.25625
HLB+,18,791.208,65.27125
HLB+,18,791.699,65.285
HLB+,18,792.189,65.295
HLB+,18,792.68,65.3075
HLB+,18,793.171,65.32
HLB+,18,793.662,65.32875
HLB+,18,794.152,65.33875
HLB+,18,794.643,65.3475
HLB+,18,795.134,65.36125
HLB+,18,795.625,65.3725
HLB+,18,796.116,65.37875
HLB+,18,796.607,65.3875
HLB+,18,797.098,65.39625
HLB+,18,797.59,65.4075
HLB+,18,798.081,65.41875
HLB+,18,798.572,65.4275
HLB+,18,799.063,65.44
HLB+,18,799.555,65.4475
HLB+,18,800.046,65.4575
HLB+,18,800.537,65.46875
HLB+,19,780.425,56.56857143
HLB+,19,780.915,56.58
HLB+,19,781.405,56.58714286
HLB+,19,781.894,56.59714286
HLB+,19,782.384,56.60571429
HLB+,19,782.874,56.61571429
HLB+,19,783.364,56.62428571
HLB+,19,783.854,56.63428571
HLB+,19,784.344,56.64285714
HLB+,19,784.834,56.65428571
HLB+,19,785.324,56.66142857
HLB+,19,785.814,56.66857143
HLB+,19,786.304,56.67714286
HLB+,19,786.794,56.68571429
HLB+,19,787.285,56.69714286
HLB+,19,787.775,56.70285714
HLB+,19,788.265,56.71428571
HLB+,19,788.756,56.72
HLB+,19,789.246,56.72714286
HLB+,19,789.736,56.73714286
HLB+,19,790.227,56.74285714
HLB+,19,790.717,56.75285714
HLB+,19,791.208,56.76142857
HLB+,19,791.699,56.76714286
HLB+,19,792.189,56.77428571
HLB+,19,792.68,56.78285714
HLB+,19,793.171,56.79142857
HLB+,19,793.662,56.79714286
HLB+,19,794.152,56.80428571
HLB+,19,794.643,56.81142857
HLB+,19,795.134,56.82
HLB+,19,795.625,56.82571429
HLB+,19,796.116,56.83142857
HLB+,19,796.607,56.84
HLB+,19,797.098,56.84571429
HLB+,19,797.59,56.85285714
HLB+,19,798.081,56.86
HLB+,19,798.572,56.86714286
